bottomid,product_name,brand,bottomcolor,gender,weather,distance,price,allergies,ecofriendly,inseam,typebottoms,bottom_preference,preferencescore,description,image,link
1,Blooming Jelly Women's Quick-Dry Running Shorts,blooming_jelly,"black,white,gray,blue,pink,yellow,green,red","female,non_binary","hot,windy,rainy,humid","minimum,medium,max",20,"polyester,spandex",no,short,shorts,"high_rise,liner,pockets",7.4876,"Blooming Jelly Women's Quick-Dry Running Shorts – lightweight, breathable workout shorts with a stretchy high-waisted band, built-in spandex liner, side slit for ease of movement, and a zippered pocket for essentials.",https://m.media-amazon.com/images/I/61VDEOx0iLL._AC_SY741_.jpg,https://amzn.to/4iPgxTz
2,THE GYM PEOPLE Womens High Waisted Running Shorts,the_gym_people,"black,white,gray,blue,pink,yellow,green,red,orange","female,non_binary","hot,windy,rainy,humid","minimum,medium,max",20,"polyester,spandex",no,short,shorts,"high_rise,liner,pockets",7.254,"THE GYM PEOPLE Women's High Waisted Running Shorts – quick-dry, moisture-wicking shorts with a built-in liner for extra coverage, wide elastic waistband for tummy control, side slits for mobility, and hidden pockets for essentials.",https://m.media-amazon.com/images/I/61Hlg8cB8FL._AC_SX679_.jpg,https://amzn.to/4lcI3vW
3,Under Armour Women's HeatGear Armour High No-Slip Waistband Pocketed Leggings,under_armour,"black,blue,gray,green,pink,red","female,non_binary","windy,rainy,cold","minimum,medium,max",42,polyester,no,long,tights_leggings,"high_rise, pockets",8.679,"Under Armour Women's HeatGear Armour High No-Slip Waistband Pocketed Leggings in black, featuring a high-rise waistband, compression fit, and a side drop-in pocket. Made from HeatGear fabric suitable for warm-weather workouts.",https://m.media-amazon.com/images/I/412KWGKQRnL._AC_SX679_.jpg,https://amzn.to/4jbMUMv
4,CRZ YOGA Women's Running Shorts Low Waisted 2.5,crz_yoga,"black,red,green,purple,pink,gray,beige,yellow,blue,white","female,non_binary","hot,windy,rainy,humid","minimum,medium,max",28,polyester,no,short,shorts,"low_rise, liner, pockets",7.9582,"CRZ YOGA Women's Running Feathery-Fit Low Rise Lined Shorts in black, featuring a low-rise waistband with inner drawstring, 2.5-inch inseam, built-in mesh liner, and side zipper pocket. Made from a soft, quick-drying polyester-elastane blend suitable for active wear.",https://m.media-amazon.com/images/I/91j5wU8slJL._AC_SX569_.jpg,https://amzn.to/4iUu50a
5,G Gradual Women's Fleece Lined Joggers High Waisted,g_gradual,"black,gray,green,blue,red,white,beige,yellow,purple","female,non_binary","windy,rainy,cold","minimum,medium,max",36,"polyester,spandex",no,long,pants,"thermal, high_rise, pockets",8.0605,"G Gradual Women's Fleece Lined Joggers in black, featuring a high-rise waistband with adjustable drawcord, fleece lining for warmth, water-resistant exterior, and zippered pockets. Made from a polyester-spandex blend suitable for winter activities.",https://m.media-amazon.com/images/I/61kg1iWpoOL._AC_SY741_.jpg,https://amzn.to/42pEpGE
6,Nike womens Leggings,nike,black,"female,non_binary","windy,rainy,cold","minimum,medium,max",62,polyester,no,long,"capris,tights_leggings","pockets,high_rise",7.6516,"Nike Women's Running Tights in black, featuring a wide waistband with internal drawcord, multiple pockets for essentials, and Dri-FIT technology for moisture-wicking. Made from a polyester-spandex blend suitable for running and training.",https://m.media-amazon.com/images/I/71vBBz+4v0L._AC_SX569_.jpg,https://amzn.to/423folA
7,"Women's Athletic Shorts – 5"" Seamless Biker Shorts",shocsox,"black,green,yellow","female,non_binary","hot,windy,rainy,humid","minimum,medium,max",25,"polyester,spandex",yes,medium,shorts,"high_rise, pockets",7.3329,"ShocSox High-Waisted Volleyball Shorts in black, featuring a compression fit, high-rise waistband, and side pockets. Made from 77% recycled polyester and 23% spandex, suitable for volleyball and other athletic activities.",https://m.media-amazon.com/images/I/71jmW3PLsaL._AC_SX679_.jpg,https://amzn.to/3EmYEfR
8,"Amazon Essentials Short Leggings for Women, Active Sculpt, Mid Rise Capri",amazon_essentials,"black,blue,pink,green","female,non_binary","windy,rainy,cold","minimum,medium,max",19,polyester,no,long,"capris,tights_leggings",mid_rise,8.0977,"Amazon Essentials Women's Active Sculpt Mid Rise Capri Legging in black, featuring a mid-rise waistband and cropped length, made from 74% polyester and 26% elastane, suitable for workouts and casual wear.",https://m.media-amazon.com/images/I/61fmJQDSsNL._AC_SX679_.jpg,https://amzn.to/4ckDUC0
9,Lululemon Align Full Length Yoga Pants - High-Waisted Design,lulu_lemon,"blue,black","female,non_binary","windy,rainy,cold",minimum,128,spandex,no,long,tights_leggings,high_rise,8.3552,"Lululemon Align Full Length Yoga Pants in black with a high-rise waistband and 28-inch inseam, designed with buttery-soft Nulu fabric for comfort and stretch during yoga or everyday wear.",https://m.media-amazon.com/images/I/71srsUKtDkL._AC_SL1500_.jpg,https://amzn.to/3Rb9hW4
10,"Nike Dri-FIT Stride Run Division Men's 5"" Shorts",nike,"green,red","mens,non_binary","hot,windy,rainy,humid","minimum,medium,max",108,"nylon,spandex",no,medium,shorts,"liner,pockets",7.2541,"Nike Dri-FIT Stride Run Division Men’s 5-inch running shorts in burgundy, featuring a built-in brief liner, lightweight Dri-FIT fabric, and secure zippered pocket on back waistband.",https://m.media-amazon.com/images/I/61i0znB4sBL._AC_SX679_.jpg,https://amzn.to/42d5jRE
11,"Nike Men's Challenger Dri-FIT 7"" Brief-Lined Running Shorts",nike,"gray,blue,black","mens,non_binary","hot,windy,rainy,humid","minimum,medium,max",50,polyester,no,medium,shorts,liner,8.1153,"Nike Challenger Dri-FIT 7-inch men’s running shorts in black with a built-in brief liner, designed for lightweight performance, moisture-wicking comfort, and enhanced mobility.",https://m.media-amazon.com/images/I/714hoGAW7WL._AC_SX679_.jpg,https://amzn.to/4cfLbDp
12,"New Balance Men's RC Short 5""",new_balance,"black,yellow,green,red,blue,purple,orange","mens,non_binary","hot,windy,rainy,humid","minimum,medium,max",65,polyester,yes,medium,shorts,"liner,pockets",8.1401,"New Balance Men's RC Short 5-inch running shorts in black, featuring a built-in seamless brief, four-way stretch fabric, and multiple pockets for storage.",https://m.media-amazon.com/images/I/41lGijjRLBL._AC_SX679_.jpg,https://amzn.to/4j46tWy
13,"Under Armour Men's Launch Run 5"" Shorts",under_armour,"gray,yellow,black,purple,red,orange","mens,non_binary","hot,windy,rainy,humid","minimum,medium,max",19,polyester,no,medium,shorts,"liner, pockets",7.8899,"Under Armour Men's Launch Run 5-inch running shorts in castlerock, featuring a mid-rise waistband, built-in liner, and mesh hand pockets. Made from lightweight and breathable fabric, ideal for running and training.",https://m.media-amazon.com/images/I/515KXIadl+L._AC_SX679_.jpg,https://amzn.to/427elQi
14,NORTHYARD Men's Athletic Running Shorts,northyard,"black,gray,white,orange,green,blue,pink,purple","mens,non_binary","hot,windy,rainy,humid","minimum,medium",25,polyester,no,"medium,long",shorts,pockets,7.8773,"NORTHYARD Men's Athletic Running Shorts in black, featuring a mid-rise waistband, elastic drawstring, and two side pockets. Made from a lightweight and breathable fabric blend, perfect for running and training.",https://m.media-amazon.com/images/I/71FP6fApCtL._AC_SY741_.jpg,https://amzn.to/443uAjS
15,BALEAF Men's Thermal Running Pants,baleaf,"black,gray,blue","mens,non_binary","cold,windy,rainy","minimum,medium,max",40,"polyester,spandex",no,long,"pants,tights_leggings","thermal,pockets",7.938,"BALEAF Men's Thermal Running Pants in black, featuring a thermal fleece lining, an elastic waistband with drawstring, and multiple pockets. Designed for warmth and comfort during cold-weather workouts.",https://m.media-amazon.com/images/I/51LgbEMjRBL._AC_SX569_.jpg,https://amzn.to/4jlmqYt
16,adidas Men's Own The Run Tights,adidas,"blue,black","mens,non_binary","cold,windy,rainy","minimum,medium,max",42,polyester,yes,long,tights_leggings,pockets,7.7969,"adidas Men's Own The Run Tights in black, featuring a mid-rise waistband, moisture-wicking fabric, and zippered pocket for secure storage. Designed for comfort and performance during running and training.",https://m.media-amazon.com/images/I/61pHCydTOwL._AC_SX679_.jpg,https://amzn.to/3EfRDxq
17,"Brooks Sherpa 3"" Split Shorts",brooks,"black,green,yellow,blue","mens,non_binary","hot,windy,rainy,humid","minimum,medium,max",60,"polyester,spandex",no,short,shorts,"liner,pockets",7.3091,"Brooks Sherpa 3-inch split shorts in black, featuring a low-rise waistband, lightweight breathable fabric, and side pockets for storage. Designed for comfort and mobility during running and training.",https://m.media-amazon.com/images/I/71YPU+l-YkS._AC_SX679_.jpg,https://amzn.to/4253QhG
18,BALEAF Men's 3” Running Shorts,baleaf,"black,green,gray,red,blue","mens,non_binary","hot,windy,rainy,humid","minimum,medium,max",20,"polyester,spandex",no,short,shorts,"liner, pockets",8.3913,"BALEAF Men's 3-inch running shorts in black with low-rise fit, breathable quick-dry fabric, built-in brief liner, and side zipper pockets. Designed for gym workouts and daily running.",https://m.media-amazon.com/images/I/61DMvt2RwyL._AC_SX569_.jpg,https://amzn.to/425dQYd
19,Stelle Women 2 in 1 Running Shorts,stelle,"black,blue,green,pink,purple,white,gray","female,non_binary","hot,humid","minimum,medium",23,"polyester,spandex",no,short,shorts,"high_rise, liner, pockets",8.0196,"Stelle Women's 2-in-1 high-waisted running shorts with built-in liner, zipper pockets, and moisture-wicking fabric for a comfortable workout.",https://m.media-amazon.com/images/I/61rf2A38gTL._AC_SX425_.jpg,https://amzn.to/4jCAFIJ
20,CRZ YOGA Mid Waisted Running Shorts,crz_yoga,"black,red,gray,green,orange,purple,blue,beige,pink","female,non_binary","hot,humid","minimum,medium",28,"nylon,spandex",no,short,shorts,"mid_rise, liner, pockets",8.0832,"CRZ YOGA Women's 4-inch mid-waisted running shorts with built-in liner, zipper pocket, and quick-dry fabric for an active workout.",https://m.media-amazon.com/images/I/71SNuox9DZL._AC_SY550_.jpg,https://amzn.to/42jcf1b
21,SANTINY Women's Joggers Pants,santiny,"beige,black,blue,gray,green,red,white,yellow,purple,pink","female,non_binary","cold,windy",minimum,34,"cotton,polyester,spandex",no,long,pants,"pockets,high_rise",7.9635,"SANTINY Women's joggers with pockets and a drawstring waistband, perfect for jogging or lounging in comfort.",https://m.media-amazon.com/images/I/71v-oDAbOQL._AC_SY550_.jpg,https://amzn.to/42iiFO3
22,Blooming Jelly Women's Workout Shorts,blooming_jelly,"black,green,pink,beige,white,yellow,purple,blue,red,gray,black","female,non_binary","hot,humid","minimum,medium",17,"polyester,spandex",no,short,shorts,"high_rise, pockets",7.4796,"Blooming Jelly Women's high-waisted running shorts with crossover design, zipper pockets, and a 2.5-inch inseam for a stylish workout look.",https://m.media-amazon.com/images/I/71DUZOpBt4L._AC_SY550_.jpg,https://amzn.to/43S2hVC
23,NORTHYARD Men's Athletic Running Pants Lightweight Workout Joggers,northyard,"black,green,blue,gray,white,red","mens,non_binary","hot,humid,windy","minimum,medium",29,"polyester,spandex",no,long,pants,"mid_rise,pockets",7.7894,"NORTHYARD Men's lightweight black joggers featuring a mid-rise fit, quick-dry fabric, and zippered side pockets, ideal for gym workouts and running sessions.",https://m.media-amazon.com/images/I/61nsBjSE3IL._AC_SY741_.jpg,https://amzn.to/4lF9C1i
24,Men's Joggers Sweatpants for Men with Zipper Pockets Joggers,contour,"black,blue","mens,non_binary","cold,windy","minimum,medium",55,polyester,no,long,pants,"mid_rise,pockets",6.6252,"Contour Athletics Men's Joggers in navy blue featuring a mid-rise athletic fit, moisture-wicking HydraFit fabric, and multiple zippered pockets for secure storage during workouts.",https://m.media-amazon.com/images/I/61FEDe0o4iL._AC_SX522_.jpg,https://amzn.to/4lSBZcz
25,MIZOK Men's Stripe Performance Compression Workout Shorts,mizok,"green,gray,blue,black,red","mens,non_binary","hot,humid,windy","minimum,medium",23,"polyester,spandex",no,medium,shorts,"mid_rise,pockets,liner",6.1177,"MIZOK Men's black compression shorts featuring a mid-rise fit, breathable quick-dry fabric, and both side and rear zippered pockets, ideal for gym workouts and running sessions.",https://m.media-amazon.com/images/I/61SRR7wl6yL._AC_SY550_.jpg,https://amzn.to/3RRSgQT
26,ASICS Men's 5IN PR LYTE SHORT,asics,"black,gray,blue,green,yellow","mens,non_binary","hot,humid,windy","minimum,medium,max",32,"polyester,spandex",no,medium,shorts,"low_rise,liner,pockets",7.1101,"ASICS Men's 5IN PR LYTE SHORT in Performance Black featuring a low-rise fit, breathable quick-dry fabric, built-in brief liner, and side zippered pocket, ideal for daily running sessions.",https://m.media-amazon.com/images/I/51Jn5OiU9kL._AC_SX522_.jpg,https://amzn.to/4imgTQG
27,ASICS Women's Road 2-N-1 3.5IN Short,asics,"black,blue,purple,beige,green","female,non_binary","hot,humid,windy","minimum,medium,max",60,"polyester,spandex",no,short,shorts,"low_rise,liner,pockets",6.8701,"ASICS Women's Road 2-N-1 3.5IN Running Shorts in Performance Black with a low-rise design, supportive compression liner, moisture-wicking fabric, and secure pockets for a comfortable run.",https://m.media-amazon.com/images/I/51vzjdgn22L._AC_SX522_.jpg,https://amzn.to/4ikH1v6
28,"Brooks Men's Journey 7"" 2-in-1 Shorts",brooks,"blue,black,gray","mens,non_binary","hot,humid,windy","minimum,medium,max",42,"polyester,spandex",yes,medium,shorts,"mid_rise, liner, pockets",6.9656,"Brooks Men's Journey 7-inch 2-in-1 running shorts in slate gray, featuring a soft liner, mid-rise waist, and dual side pockets for comfort on long runs.",https://m.media-amazon.com/images/I/61QgM+kgNwL._AC_SX466_.jpg,https://amzn.to/42BMGam
29,"Brooks Women's Chaser 3"" Shorts 2.0",brooks,"red,black,blue","female,non_binary","hot,humid,windy","minimum,medium,max",44,"polyester,spandex",yes,short,shorts,"low_rise, liner, pockets",6.9917,"Brooks Women's Chaser 3-inch 2.0 running shorts in cayenne red with a low-rise waist, breathable liner, and dual side pockets for secure storage during runs.",https://m.media-amazon.com/images/I/71UlvL3AgEL._AC_SX466_.jpg,https://amzn.to/3GsWBre
30,"New Balance Women's Impact Run 3"" Short 22",new_balance,"black,blue,orange,pink,red,purple","female,non_binary","hot,humid,windy","minimum,medium,max",22,polyester,no,short,shorts,"mid_rise, liner, pockets",7.2827,"New Balance Women's Impact Run 3-inch shorts in black with mid-rise fit, lightweight stretch fabric, built-in liner, and drop-in pockets designed for long-distance comfort.",https://m.media-amazon.com/images/I/61Hqhsa5QvL._AC_SX466_.jpg,https://amzn.to/3YE3Hzt
31,baleaf Women's Fleece Lined Leggings,baleaf,"black,green,gray,blue,red,pink,white,purple","female,non_binary","windy,rainy,cold","minimum,medium",30,"polyester,spandex",no,long,tights_leggings,"pockets,thermal,high_rise",8.579,"BALEAF women's fleece-lined leggings in black, featuring a high-rise waistband, water-resistant fabric, multiple zippered pockets, and a soft thermal interior for cold-weather running and outdoor activities.",https://m.media-amazon.com/images/I/51sNOI4MbZL._AC_SY741_.jpg,https://amzn.to/4jfcMqJ
32,ROCKBROS Mens Cycling Bike Pants Quick-Dry Outdoor Mountain Running Hiking Gear,rockbros,black,"mens,non_binary","windy,rainy,cold","minimum,medium",41,"polyester,spandex",no,long,pants,"pockets,mid_rise",8.237,"ROCKBROS men's quick-dry cycling pants in black, featuring windproof front panels, breathable back fabric, zippered side pockets, reflective strips for night visibility, and adjustable ankle cuffs for versatile outdoor activities.",https://m.media-amazon.com/images/I/5184NzzVjZS._AC_SX679_.jpg,https://amzn.to/4lT94Fc
33,Willit Men's Fleece Running Leggings Cold Weather Gear Winter Cycling Tights,willit,"black,blue,gray,green","mens,non_binary","windy,rainy,cold","minimum,medium",37,"polyester,spandex",no,long,"tights_leggings,pants","pockets,mid_rise,thermal",6.7125,"Willit men's fleece-lined running leggings in black with water-resistant outer layer, thermal insulation, zippered side pockets, and reflective details for cold weather workouts.",https://m.media-amazon.com/images/I/713Whs2mz-L._AC_SY741_.jpg,https://amzn.to/3GvNYfB
34,Brooks Momentum Thermal Tights,brooks,black,"mens,non_binary","windy,rainy,cold","minimum,medium,max",95,"polyester,spandex",no,long,"tights_leggings,pants","pockets,mid_rise,thermal",6.82,"Brooks Momentum Thermal Tights in black, featuring a sleek fit, thermal fabric for cold weather runs, and side pockets for storage.",https://m.media-amazon.com/images/I/61KUlum++sL._AC_SX679_.jpg,https://amzn.to/3GvO8Uf
35,"Brooks Women's Spark 5"" Short Tight",brooks,"blue,black","female,non_binary","hot,humid,windy","minimum,medium",66,"polyester,spandex",yes,medium,shorts,"high_rise,pockets",6.9178,"Brooks Women's Spark 5\"" Short Tight in black, featuring high-rise fit, breathable GO? Secure™ fabric, and multiple pockets designed for runners.",https://m.media-amazon.com/images/I/61+A9DL7DVL._AC_SX679_.jpg,https://amzn.to/4jgAO4N
36,"Nike Men's 5"" 2-in-1 Running Shorts Flex Stride",nike,"black,blue,purple","mens,non_binary","hot,humid,windy","minimum,medium,max",65,polyester,no,medium,shorts,"liner,mid_rise,pockets",8.3991,"Nike Men's 5-inch Flex Stride 2-in-1 running shorts in black featuring lightweight fabric, soft liner, mid-rise fit, and reflective details for added visibility.",https://a.media-amazon.com/images/I/51VAymKzRnL._AC_SX679_.jpg,https://amzn.to/4jTponC
37,"Brooks Spark 8"" Short Tights",brooks,"black,gray","female,non_binary","hot,humid,windy","minimum,medium",60,polyester,yes,medium,shorts,"liner,pockets,high_rise",7.3369,"Brooks Women's Spark 8-inch Short Tights in black, featuring a high-rise fit, breathable recycled fabric, built-in liner, and multiple pockets for secure storage during runs.",https://m.media-amazon.com/images/I/615K0gVyC6L._AC_SX522_.jpg,https://amzn.to/4keKjSE
38,CRZ YOGA Women's Naked Feeling Biker Shorts with Pockets 6'',crz_yoga,"black,gray,pink,green,blue,red,purple,white,beige","female,non_binary","hot,humid,windy",minimum,20,"polyester,spandex",no,medium,shorts,"pockets,high_rise",7.6076,"CRZ YOGA Women's Naked Feeling 6-inch high-waisted biker shorts in black, featuring a seamless waistband and side pockets, designed for comfort during yoga and gym workouts.",https://m.media-amazon.com/images/I/71belqshgxL._AC_SX569_.jpg,https://amzn.to/3HdCJJ7
39,"baleaf Women's 8""/ 5""/ 3"" Biker Shorts High Waist",baleaf,"black,gray,blue,purple,white,green,beige,pink,red","female,non_binary","hot,humid,windy","minimum,medium",17,"polyester,spandex",no,"short,medium,long",shorts,"pockets,high_rise",8.3923,"BALEAF Women's high-waisted biker shorts in black, featuring side pockets and a comfortable fit, designed for running and gym workouts.",https://m.media-amazon.com/images/I/61sDyU6zQqL._AC_SY741_.jpg,https://amzn.to/4dAVoLe
40,Sunzel No Front Seam Biker Shorts,sunzel,"black,purple,blue,pink,gray,green,red,beige,orange","female,non_binary","hot,humid,windy",minimum,20,"nylon, spandex",no,medium,shorts,"pockets,high_rise",8.0165,"Sunzel Women's No Front Seam high-waisted biker shorts in black, featuring side pockets and a comfortable fit, designed for yoga and gym workouts.",https://m.media-amazon.com/images/I/71xxwPJuGuL._AC_SX679_.jpg,https://amzn.to/3Z3cHi0
41,THE GYM PEOPLE Women's High Waist Workout Shorts,the_gym_people,"black,white,green,blue,gray,pink,purple,red","female,non_binary","hot,humid,windy",minimum,15,"polyester,spandex",no,short,shorts,"pockets,high_rise",8.0013,"THE GYM PEOPLE Women's High Waist Workout Shorts in black, featuring side pockets and a comfortable fit, designed for yoga and gym workouts.",https://m.media-amazon.com/images/I/51fHtX-w-sL._AC_SX679_.jpg,https://amzn.to/3SSG7M7
