topid,product_name,brand,topcolor,gender,weather,distance,price,allergies,ecofriendly,top_sleeves,top_length,top_preference,preferencescore,description,image,link
1,Rab Men's Force Tee,rab,"gray,beige,blue,red,yellow","mens,non_binary","hot,windy,rainy,humid","minimum,medium,max",45,polyester,no,short,hip_length,"lightweight,sun_protection,quick_dry",7.8516,"Stay cool and protected with the Rab Men's Force Tee—a lightweight, breathable performance shirt designed for hiking, climbing, and high-output activities. Featuring UPF protection to shield against harmful UV rays and Motiv™ fabric for moisture-wicking comfort, this slim-fit tee works great as a standalone layer in the heat or as a base layer in cooler conditions. Stylish and functional, it’s ready for both trail adventures and casual wear. #running #hiking #outdoorgear",https://m.media-amazon.com/images/I/51z6aedn7LL._AC_SX679_.jpg,https://amzn.to/4lt6CoL
2,TLRUN Men's Running Tank - Ultra Lightweight,tlrun,"blue,red,gray,yellow,black,pink,orange","mens,non_binary","hot,windy,rainy,humid","minimum,medium,max",17,polyester,no,no_sleeves,hip_length,"reflective_details,lightweight,quick_dry",8.7289,"TLRUN Men's Running Tank – Ultra Lightweight, breathable, and moisture-wicking with a grid-textured quick-dry fabric. Features flat-lock stitching to prevent chafing, 360° reflective details for visibility, and a barely-there feel for maximum comfort during running, workouts, and sports.",https://m.media-amazon.com/images/I/71WgNuQfFuL._AC_SY741_.jpg,https://amzn.to/4iN8qXV
3,Nike Men's Breathe Running T-Shirt,nike,"black,beige","mens,non_binary","hot,windy,rainy,humid","minimum,medium,max",35,none,no,short,hip_length,"lightweight,quick_dry",8.6668,Nike Breathe Running T-Shirt made from Dri-FIT mesh fabric for lightweight breathability and moisture control during runs.,https://m.media-amazon.com/images/I/51+Th+BsJ2L._AC_SX679_.jpg,https://amzn.to/4jiPVu7
4,Nike Men's Long Sleeve Shirt,nike,"blue,red,gray","mens,non_binary","cold,windy,rainy","minimum,medium",36,polyester,no,long,hip_length,"lightweight,quick_dry",10.2662,"Nike Men's Legend Long Sleeve Tee featuring Dri-FIT technology and a relaxed fit, ideal for comfortable workouts.",https://m.media-amazon.com/images/I/81HtENCHzHL._AC_SX679_.jpg,https://amzn.to/4i49jtQ
5,Brooks Luxe Short Sleeve,brooks,"gray,blue,black","mens,non_binary","hot,windy,rainy,humid","minimum,medium,max",50,"polyester,spandex",no,short,hip_length,"quick_dry,anti_odor",7.9601,"Brooks Men's Luxe Short Sleeve running shirt featuring ultra-soft GO₂ Soft™ fabric, moisture-wicking properties, and a semi-fitted design for optimal comfort.",https://m.media-amazon.com/images/I/71JTDzdmTCL._AC_SX679_.jpg,https://amzn.to/4j072RI
6,adidas Men's Essentials Feelready Training T-Shirt,adidas,"black,white,red,orange,gray,blue,green,yellow","mens,non_binary","hot,windy,rainy,humid","minimum,medium",19,"polyester,cotton",no,short,hip_length,quick_dry,9.515,"Adidas Men's Essentials Training T-Shirt made with recycled materials, featuring Aeroready technology for moisture-wicking and a regular fit.",https://m.media-amazon.com/images/I/41Dn3oQ2PAL._AC_SX679_.jpg,https://amzn.to/3FSdGLh
7,New Balance Men's Athletics T-Shirt,new_balance,"green,black,blue,white,beige,red","mens,non_binary","hot,windy,rainy,humid","minimum,medium,max",40,polyester,yes,short,hip_length,"quick_dry,lightweight",6.3852,"New Balance Men's Athletics T-Shirt in Dark Olivine, crafted from 95% recycled polyester and 5% polyester, offering an athletic fit with NB ICEx fast-drying technology for superior comfort during workouts.",https://m.media-amazon.com/images/I/71L0E7h1cqL._AC_SX679_.jpg,https://amzn.to/4jp85uq
8,Under Armour Men's Tech 2.0 Short-Sleeve T-Shirt,under_armour,"black,yellow,red,green,beige,black,gray,blue,pink,orange,white","mens,non_binary","hot,windy,rainy,humid","minimum,medium,max",15,polyester,no,short,hip_length,"quick_dry,lightweight,anti_odor",9.649,"Under Armour Men's Tech 2.0 Short-Sleeve T-Shirt, made from 100% polyester with quick-drying technology, designed for comfort and performance during workouts.",https://m.media-amazon.com/images/I/51FKycqF0yS._AC_SX679_.jpg,https://amzn.to/3RzPoIe
9,CRZ YOGA Mens Lightweight Athletic T-Shirt,crz_yoga,"black,blue,white,beige,gray","mens,non_binary","hot,windy,rainy,humid","minimum,medium,max",26,polyester,no,short,"hip_length,long","lightweight,quick_dry",8.77,"CRZ YOGA Men's Lightweight Athletic T-Shirt, crafted from 92% polyester and 8% spandex for a soft and flexible fit, perfect for running and workouts.",https://m.media-amazon.com/images/I/81LhYxjl0PL._AC_SX569_.jpg,https://amzn.to/42gnar4
10,PUMA Men's Run Favorite Singlet,puma,"blue,black,yellow,gray,red","mens,non_binary","hot,windy,rainy,humid","minimum,medium,max",21,polyester,yes,no_sleeves,hip_length,"reflective_details,lightweight,quick_dry",7.6109,"PUMA Men's Run Favorite Singlet, crafted from 100% polyester for lightweight comfort and moisture-wicking properties, perfect for running and training.",https://m.media-amazon.com/images/I/51mLzJEknrL._AC_SX679_.jpg,https://amzn.to/3E8EKVX
11,adidas Women's Own the Run Tank,adidas,"black,pink","female,non_binary","hot,windy,rainy,humid","minimum,medium,max",28,polyester,yes,no_sleeves,hip_length,"reflective_details,lightweight,quick_dry",7.9743,"Adidas Women's Own The Run Long Sleeve T-Shirt in Black, featuring moisture-absorbing AEROREADY technology, reflective elements, and a comfortable regular fit.",https://m.media-amazon.com/images/I/410nNICNU0L._AC_SX679_.jpg,https://amzn.to/4ckMX6b
12,CRZ YOGA Seamless Workout Tops for Women Short Sleeve,crz_yoga,"black,blue,pink,gray,red,white","female,non_binary","hot,windy,rainy,humid","minimum,medium,max",24,polyester,no,short,hip_length,quick_dry,8.9605,"CRZ YOGA Women's Seamless Athletic Long Sleeve Shirt in Black, featuring moisture-wicking, seamless fabric, and a comfortable slim fit design.",https://m.media-amazon.com/images/I/71EzhTSXdQL._AC_SX569_.jpg,https://amzn.to/4ckYRg5
13,baleaf Women's Short Sleeve,baleaf,"red,blue,black,gray,pink,white","female,non_binary","hot,windy,rainy,humid","minimum,medium,max",23,"polyester,spandex",no,short,hip_length,"reflective_details,lightweight,quick_dry",9.3449,"Baleaf Women's Short Sleeve Crew Neck Workout Top in various colors, featuring moisture-wicking fabric for optimal comfort during workouts, and reflective elements for visibility.",https://m.media-amazon.com/images/I/61AGT94DvTL._AC_SY741_.jpg,https://amzn.to/42l7tPy
14,Nike Womens Pro Allover Mesh Short Sleeve Top 2.0,nike,"blue,black,red,green,white,gray","female,non_binary","hot,windy,rainy,humid","minimum,medium,max",32,"polyester,spandex",yes,short,hip_length,"lightweight,quick_dry",7.7561,"Nike Women's Pro Allover Mesh Short Sleeve Top 2.0 in Black, featuring breathable mesh fabric and a slim fit design for optimal comfort during workouts.",https://m.media-amazon.com/images/I/41CzwbbJSJL._AC_SY741_.jpg,https://amzn.to/4chwEa6
15,CRZ YOGA Pima Cotton Cropped Workout Tank Top,crz_yoga,"black,yellow,red,green,beige,black,gray,blue,pink","female,non_binary","hot,windy,rainy,humid","minimum,medium",20,"cotton,spandex",no,no_sleeves,crop,lightweight,9.2381,"CRZ YOGA Pima Cotton Cropped Workout Tank Top, featuring a soft blend of Pima cotton and elastane for comfort, perfect for workouts or casual wear.",https://m.media-amazon.com/images/I/71phVEHphvL._AC_SX569_.jpg,https://amzn.to/4je7CLi
16,MathCat Seamless Workout Shirts for Women Long Sleeve,mathcat,"black,yellow,red,green,beige,black,gray,blue,pink,orange,white","female,non_binary","cold,windy,rainy","minimum,medium,max",28,nylon,no,long,hip_length,"lightweight,quick_dry",8.659,"MathCat Seamless Long Sleeve Workout Shirt for Women, featuring a breathable Nylon-Spandex blend with thumbholes, ideal for yoga, running, and gym workouts.",https://m.media-amazon.com/images/I/71lhIq6EYdL._AC_SY741_.jpg,https://amzn.to/42kGBz1
17,G4Free Women's UPF 50+ UV Shirts Long Sleeve,g4free,"black,yellow,red,green,beige,black,gray,blue,pink,orange,white","female,non_binary","cold,windy,rainy","minimum,medium,max",24,"polyester,spandex",no,long,"hip_length,long","lightweight,sun_protection,quick_dry",9.1116,"G4Free Women's Long Sleeve UV Protection Shirt, featuring UPF 50+ sun protection, lightweight and breathable fabric, perfect for outdoor activities like hiking, running, and yoga.",https://m.media-amazon.com/images/I/61qQk-MdgFL._AC_SX569_.jpg,https://amzn.to/4cv4kBm
18,CRZ YOGA Butterluxe Workout Tank Top,crz_yoga,"black,red,pink,green,beige,white,gray","female,non_binary","hot,windy,rainy,humid",minimum,32,"nylon,spandex",no,no_sleeves,hip_length,built_in_bra,9.3423,"CRZ YOGA Butterluxe Workout Tank Top, made from a blend of 81% Polyamide and 19% Lycra for exceptional softness and stretch, perfect for yoga and daily wear.",https://m.media-amazon.com/images/I/71jcJmxsqfL._AC_SX569_.jpg,https://amzn.to/4jhGz1B
19,Arc'teryx Taema Crew Neck Shirt SS Women's,arcteryx,"gray,white,blue","female,non_binary","hot,windy,rainy,humid","minimum,medium,max",70,polyester,yes,short,hip_length,"lightweight,sun_protection,anti_odor,quick_dry",8.1156,"Arc'teryx Taema Crew Neck Shirt SS Women's, crafted from 100% recycled Phasic LT polyester, offering superior moisture-wicking and breathability for active outdoor pursuits.",https://m.media-amazon.com/images/I/71XrmYLduyL._AC_SL1500_.jpg,https://amzn.to/4jdzcIF
20,CRZ YOGA Womens Seamless Ribbed Longline High Neck Sports Bra - Racerback Padded Slim Fit Crop Tank Top,crz_yoga,"black,gray,purple,red,blue,pink,green,white,yellow,beige","female,non_binary","hot,humid","minimum,medium",28,polyester,no,no_sleeves,crop,"lightweight,quick_dry,built_in_bra",8.2643,"CRZ YOGA Women's Seamless Ribbed Longline High Neck Sports Bra in deep red, featuring a racerback design, built-in padded shelf bra, and cropped slim fit for versatile workouts.",https://m.media-amazon.com/images/I/71DPCjCotsL._AC_SX569_.jpg,https://amzn.to/3EyjmcL
21,adidas Women's Training Essentials Minimal Branding Racerback,adidas,"black,pink","female,non_binary","hot,humid","minimum,medium",24,polyester,yes,no_sleeves,hip_length,"lightweight,quick_dry",6.744,"adidas Women's Train Essentials Minimal Branding Racerback Tank Top in black, featuring a lightweight, moisture-wicking fabric and a comfortable regular fit.",https://m.media-amazon.com/images/I/71kXJOl-L7L._AC_SX569_.jpg,https://amzn.to/3G7jssy
22,"Brooks Women's 3 Pocket Sports Bra for Running, Workouts & Sports",brooks,"blue,purple,orange,red,black,pink,yellow,white","female,non_binary","hot,humid,windy","minimum,medium,max",55,"polyester,spandex",no,no_sleeves,crop,"quick_dry,anti_odor,built_in_bra",7.8632,"Brooks Women's 3 Pocket Sports Bra in black, featuring a racerback design with three storage pockets, ideal for running and high-impact workouts.",https://m.media-amazon.com/images/I/51ltGiKJY4L._AC_SX679_.jpg,https://amzn.to/3YCPZNh
23,baleaf Women's Long Sleeve Running Shirts Quick Dry Lightweight Pullover,baleaf,"blue,black,gray,pink,purple,white,red","female,non_binary","cold,windy","minimum,medium,max",30,"polyester,spandex",no,long,"hip_length,long","lightweight,sun_protection,quick_dry,reflective_details",8.954,"BALEAF Women's Long Sleeve Running Shirt in black, featuring lightweight, quick-dry fabric with UPF 50+ sun protection and reflective details for enhanced visibility.",https://m.media-amazon.com/images/I/71YUvpNmejL._AC_SY550_.jpg,https://amzn.to/4jwF7Jz
24,Under Armour Men's Tech 2.0 Long-Sleeve T-Shirt,under_armour,"green,black,blue,red,purple,orange","mens,non_binary","cold,windy","minimum,medium",21,polyester,no,long,hip_length,"lightweight,quick_dry",8.7202,"Under Armour Men's Tech 2.0 Long-Sleeve T-Shirt in graphite, featuring UA Tech fabric that's lightweight, quick-drying, and breathable—ideal for warm and cool weather workouts.",https://m.media-amazon.com/images/I/61pXGYZ2BjL._AC_SX522_.jpg,https://amzn.to/42i9ayr
25,NORTHYARD Men's Workout Tank Tops Quick Dry Running Shirts Sleeveless Muscle Shirts,northyard,"green,black,blue,gray,white,yellow,orange","mens,non_binary","hot,humid",minimum,20,"polyester,spandex",no,no_sleeves,hip_length,"lightweight,quick_dry",6.5161,"NORTHYARD Men's Workout Tank Top in light green, featuring a sleeveless athletic cut, quick-dry polyester blend, and lightweight feel designed for hot and humid training days.",https://m.media-amazon.com/images/I/61IiQASnzzL._AC_SY550_.jpg,https://amzn.to/42ErX61
26,ASICS Men's M's Rival II Singlet,asics,"purple,black,blue,red,white","mens,non_binary","hot,humid","minimum,medium,max",20,polyester,no,no_sleeves,hip_length,"lightweight,quick_dry",8.25,"ASICS Men's Rival II Singlet in steel gray, designed with lightweight polyester and quick-dry performance for hot and humid running conditions.",https://m.media-amazon.com/images/I/81UliShdvVL._AC_SL1500_.jpg,https://amzn.to/3Rlkfbz
27,ASICS Men's SILVER SINGLET,asics,"black,blue,green,purple","mens,non_binary","hot,humid","minimum,medium",30,polyester,no,no_sleeves,hip_length,"reflective_details,lightweight,quick_dry",7.1025,"ASICS Men's SILVER SINGLET in steel color with quick-dry fabric, designed for running and training in hot or humid conditions.",https://m.media-amazon.com/images/I/51XNpNhNowL._AC_SX522_.jpg,https://amzn.to/3GbDZfj
28,NORTHYARD Men's Running Shirt Long Sleeve Quarter Zip Pullover Moisture Wicking Quick Dry Athletic Workout Shirt,northyard,"black,blue,gray,green,red,orange,pink,white","mens,non_binary","cold,windy",medium,20,"polyester,spandex",no,long,"hip_length,long","quick_dry,reflective_details",7.8727,"NORTHYARD Men's Long Sleeve Quarter Zip Pullover in black with quick-dry moisture-wicking fabric, designed for athletic workouts and cold weather running.",https://m.media-amazon.com/images/I/610uBJNdl0L._AC_SY550_.jpg,https://amzn.to/4cCwJp8
29,ASICS Women's Team Sweep Singlet,asics,"green,black,red,yellow,orange,purple,blue,gray,white","female,non_binary","hot,humid","minimum,medium,max",10,polyester,no,no_sleeves,hip_length,"lightweight,quick_dry",7.39,"ASICS Women's Team Sweep Singlet in forest green with lightweight, quick-dry fabric, designed for running in hot and humid conditions.",https://m.media-amazon.com/images/I/810ImDAspOL._AC_SY550_.jpg,https://amzn.to/43Wd5SL
30,CRZ YOGA Seamless Short Sleeve Shirt Cropped,crz_yoga,"green,black,blue,gray,red,purple,white,pink","female,non_binary","hot,humid","minimum,medium",24,polyester,no,short,crop,"lightweight,quick_dry",7.3539,"CRZ YOGA Women's Seamless Short Sleeve Shirt in hibiscus purple, featuring lightweight, breathable fabric and a slim fit design ideal for running and workouts.",https://m.media-amazon.com/images/I/71S-4N283qL._AC_SX569_.jpg,https://amzn.to/4j8x2Kw
31,THE GYM PEOPLE Womens' Sports Bra Longline Wirefree Padded with Medium Support,the_gym_people,"black,white,pink,purple,grey,blue,green,red,beige","female,non_binary","hot,humid,windy","minimum,medium",20,spandex,no,no_sleeves,crop,"lightweight,quick_dry,built_in_bra",7.9817,"THE GYM PEOPLE Women's Longline Sports Bra in soft pink, featuring a cropped design with built-in padding, racerback style, and breathable fabric suitable for workouts and casual wear.",https://m.media-amazon.com/images/I/61eEMFP2HfL._AC_SX569_.jpg,https://amzn.to/3E8CRIR
32,baleaf Workout Tank Tops for Women Sleeveless Running Athletic Loose Fit,baleaf,"black,blue,red,gray,orange,green,purple,pink","female,non_binary","hot,humid","minimum,medium",19,"polyester,spandex",no,no_sleeves,hip_length,"lightweight,quick_dry,reflective_details",8.2912,"BALEAF Women's Sleeveless Workout Tank Top in black, featuring a loose fit, breathable quick-dry fabric, and reflective details, ideal for running and gym workouts.",https://m.media-amazon.com/images/I/612fyu+U5uL._AC_SX466_.jpg,https://amzn.to/42xA319
33,Mippo Workout Tops for Women Cropped Split Back,mippo,"black,beige,green,blue,red,pink,purple,white","female,non_binary","hot,humid",minimum,18,spandex,no,short,crop,"lightweight,quick_dry",7.579,"Mippo Women's Cropped Split Back Workout Top in black, featuring a lightweight, breathable fabric and stylish open-back design suitable for running and gym workouts.",https://m.media-amazon.com/images/I/61e8ZNpEr4L._AC_SY741_.jpg,https://amzn.to/3EAhkZF
34,Yoga Racerback Tank Top for Women with Built in Bra,sphinx_cat,"black,blue,green,white,orange,gray,purple,pink","female,non_binary","hot,humid,windy",minimum,24,"nylon,spandex",no,no_sleeves,hip_length,"lightweight,quick_dry,built_in_bra",7.179,"Sphinx Cat Women's Racerback Tank Top with built-in bra in sky blue, featuring a snug athletic fit and breathable fabric ideal for running or gym sessions.",https://m.media-amazon.com/images/I/51YjS8L2BVL._AC_SX679_.jpg,https://amzn.to/42hwtby
35,Zengjo Mens Baselayer Shirt Long Sleeve Athletic Running T Shirts Lightweight Undershirt,zengjo ,"white,black,blue,green,pink,red","mens,non_binary","cold,windy","minimum,medium",18,"polyester,spandex",no,long,hip_length,"lightweight,sun_protection,quick_dry,reflective_details",8.1958,"Zengjo men's long sleeve athletic running shirt in black, featuring a fitted design with moisture-wicking fabric, reflective logo, and ergonomic flatlock seams for enhanced comfort during workouts.",https://m.media-amazon.com/images/I/61EYYYORTXL._AC_SY741_.jpg,https://amzn.to/3Gcy4GT
36,baleaf Men's Running Jacket Lightweight Thumble Hole Warm Up Puffer Jacket,baleaf ,"black,gray,blue,white,red,orange","mens,non_binary","cold,windy","minimum,medium",50,"polyester,spandex",no,long,hip_length,"lightweight,quick_dry,reflective_details",7.7856,"BALEAF men's lightweight hybrid running jacket in dark grey, featuring a water-resistant insulated front, breathable back, detachable hood, thumbholes, and reflective detailing for cold-weather runs.",https://m.media-amazon.com/images/I/61oLPM99H0L._AC_SX569_.jpg,https://amzn.to/42UDoHK
37,baleaf Women's Rain Jackets Waterproof Windbreaker,baleaf ,"black,yellow,white,blue,orange,purple,pink","female,non_binary","cold,windy,rainy","minimum,medium",47,polyester,no,long,hip_length,"lightweight,quick_dry,reflective_details",8.1296,"BALEAF women's waterproof windbreaker jacket in fluorescent yellow, featuring a full-zip design with adjustable hood, reflective elements, and multiple zippered pockets for outdoor activities.",https://m.media-amazon.com/images/I/619LMWPNgpL._AC_SX569_.jpg,https://amzn.to/4cCiDnA
38,Thermal Shirts for Women Long Sleeve Mock Neck Fleece Tops Running Workout Cold Weather Gear with Zip Pocket,g_gradual,"black,red,green,gray,blue,white,pink,orange","female,non_binary","cold,windy,rainy","minimum,medium",25,"polyester,spandex",no,long,hip_length,"lightweight,quick_dry,anti_odor",7.0507,"Women's long sleeve thermal running shirt in black, featuring a mock neck, fleece-lined interior, zippered side pocket, and thumbholes for cold-weather workouts.",https://m.media-amazon.com/images/I/71ATVsaFliL._AC_SX569_.jpg,https://amzn.to/4cB0CWE
39,Brooks Women's Distance Short Sleeve 3.0,brooks,"blue,green,purple","female,non_binary","hot,humid,windy","minimum,medium",38,polyester,yes,short,hip_length,"lightweight,quick_dry",6.4274,"Brooks Women's Distance Short Sleeve 3.0 in navy blue, featuring a semi-fitted hip-length cut, lightweight GO₂ Soft™ fabric, and a 'Good Run Vibes' graphic, designed for comfort during warm-weather runs.",https://m.media-amazon.com/images/I/71TZBZeAPIL._AC_SX679_.jpg,https://amzn.to/4lHOZ4x
40,New Balance Women's Impact Run Tank Top,new_balance,"pink,black,blue,green,red,orange","female,non_binary","hot,humid,windy","minimum,medium,max",45,polyester,yes,no_sleeves,hip_length,"lightweight,quick_dry,reflective_details",6.5699,"New Balance Women's Impact Run Tank Top in heathered pink, featuring a sleeveless athletic fit, breathable mesh fabric, and reflective details for enhanced visibility during runs.",https://m.media-amazon.com/images/I/51qkec01UFL._AC_SX679_.jpg,https://amzn.to/3EkOrRp
41,Nike Women's Victory Compression Sports Bra,nike,"black,gray,white,blue,red,pink,yellow,purple","female,non_binary","hot,humid,windy","minimum,medium",35,"polyester,spandex",no,no_sleeves,crop,"lightweight,quick_dry,reflective_details,built_in_bra",8.6301,"Nike Women's Victory Compression Sports Bra in black with white Swoosh logo, featuring a racerback design and moisture-wicking Dri-FIT fabric for medium-impact support during workouts.",https://m.media-amazon.com/images/I/51+SKBZO7cL._AC_SX679_.jpg,https://amzn.to/3EANQuT
42,ASICS Men's SILVER Short Sleeve TOP,asics,"black,gray,blue","mens,non_binary","hot,humid,windy","minimum,medium",35,polyester,yes,short,hip_length,"lightweight,quick_dry,reflective_details",7.4358,"ASICS Men's SILVER Short Sleeve running shirt featuring lightweight, quick-dry polyester fabric and subtle reflective details for low-light visibility.",https://a.media-amazon.com/images/I/51Syxx7fodL._AC_SX679_.jpg,https://amzn.to/3YPR5oZ
43,adidas Men's Own the Run T-Shirt,adidas,"blue,red,green,gray,white,pink,purple,yellow,black,orange","mens,non_binary","hot,humid,windy","minimum,medium,max",35,polyester,yes,short,hip_length,"lightweight,quick_dry,reflective_details",7.7886,"adidas Men's Own the Run T-Shirt in dark blue featuring lightweight, moisture-wicking AEROREADY fabric and reflective details for enhanced visibility.",https://a.media-amazon.com/images/I/71oYgiG4R7L._AC_SX679_.jpg,https://amzn.to/4iwq7tx
44,Nike Dri-FIT Rise 365 Men's Running Tank,nike,gray,"mens,non_binary","hot,humid,windy","minimum,medium,max",45,polyester,no,no_sleeves,hip_length,"lightweight,quick_dry",8.057,"Nike Dri-FIT Rise 365 men's running tank in a breathable lightweight fabric, shown in a relaxed fit ideal for warm-weather training and races.",https://m.media-amazon.com/images/I/71I177fX-SL._AC_SY741_.jpg,https://amzn.to/3Fa96YC
45,New Balance Men's Impact Run Singlet,new_balance,blue,"mens,non_binary","hot,humid,windy","minimum,medium,max",40,"polyester,spandex",yes,no_sleeves,hip_length,"lightweight,quick_dry,reflective_details",7.1989,"New Balance Men's Impact Run Singlet in vibrant color, featuring lightweight, breathable mesh fabric with NB ICEx technology and reflective details, ideal for hot-weather running.",https://m.media-amazon.com/images/I/41gKTIjm2qL._AC_SX679_.jpg,https://amzn.to/4j1swwz
